Complaint_type,Error,Accuracy
APPLIANCE,0.2919075245286427,0.7080924754713573
Abandoned Vehicle,0.28091692725685785,0.7190830727431421
Adopt-A-Basket,0.2919925673173337,0.7080074326826663
Air Quality,0.28629103396821887,0.7137089660317811
Animal Abuse,0.29242552994001236,0.7075744700599876
Animal Facility - No Permit,0.2895183659597671,0.7104816340402329
Animal in a Park,0.2871916328497895,0.7128083671502106
Animal-Abuse,0.2956673781357367,0.7043326218642634
Asbestos,0.29367511055354656,0.7063248894464534
BEST/Site Safety,0.3001748990298073,0.6998251009701927
Beach/Pool/Sauna Complaint,0.28554090719958247,0.7144590928004175
Bike Rack Condition,0.29708663939489,0.70291336060511
Bike/Roller/Skate Chronic,0.2820470984395962,0.7179529015604038
Blocked Driveway,0.2975968337843539,0.702403166215646
Boilers,0.3002736797753718,0.6997263202246282
Borough Office,0.2769106373716519,0.7230893626283481
Broken Muni Meter,0.2872020110916748,0.7127979889083251
Broken Parking Meter,0.2844769078705701,0.7155230921294299
Building Marshals office,0.2851057927011694,0.7148942072988306
Building/Use,0.2881883584177801,0.7118116415822199
Bus Stop Shelter Complaint,0.29294075906227757,0.7070592409377224
Bus Stop Shelter Placement,0.29053290883046057,0.7094670911695394
City Vehicle Placard Complaint,0.2828673739057629,0.7171326260942371
Collection Truck Noise,0.2923061475490143,0.7076938524509857
Construction,0.2939964200586334,0.7060035799413666
Construction Lead Dust,0.28425081376174455,0.7157491862382555
Construction Safety Enforcement,0.28595381385401236,0.7140461861459877
Consumer Complaint,0.2944716796057984,0.7055283203942015
Cranes and Derricks,0.2883845620094041,0.7116154379905959
Curb Condition,0.28469688607337956,0.7153031139266204
DOF Property - Payment Issue,0.29023661287886016,0.7097633871211398
DOOR/WINDOW,0.2930791547346467,0.7069208452653533
DPR Internal,0.2867862534899988,0.7132137465100012
DRIE,0.2995334779784657,0.7004665220215343
Damaged Tree,0.28612833395295345,0.7138716660470465
Day Care,0.2907838737597162,0.7092161262402839
Dead Tree,0.2885683888414333,0.7114316111585667
Dead/Dying Tree,0.28444246416541685,0.7155575358345831
Derelict Bicycle,0.2903194662020388,0.7096805337979613
Derelict Vehicle,0.291639052985759,0.708360947014241
Derelict Vehicles,0.29719159290542296,0.702808407094577
Dirty Conditions,0.2890147802536164,0.7109852197463836
Disorderly Youth,0.28389873522170916,0.7161012647782908
Drinking,0.2879828436567198,0.7120171563432802
Drinking Water,0.28942992440795295,0.710570075592047
Drug Activity,0.300365531932394,0.699634468067606
ELECTRIC,0.28727160564421583,0.7127283943557842
ELEVATOR,0.2918203939599395,0.7081796060400605
Electrical,0.29048530665664446,0.7095146933433556
Electronics Waste Appointment,0.2981940948019864,0.7018059051980137
Elevator,0.28900916264788445,0.7109908373521155
Emergency Response Team (ERT),0.2829028819480105,0.7170971180519895
Executive Inspections,0.2980475465416518,0.7019524534583482
FLOORING/STAIRS,0.28909652983881445,0.7109034701611856
Facades,0.3016582417758821,0.6983417582241179
Food Establishment,0.29101898346862004,0.7089810165313799
Food Poisoning,0.2845339264300294,0.7154660735699706
For Hire Vehicle Complaint,0.2929042792069915,0.7070957207930084
For Hire Vehicle Report,0.2913517406555006,0.7086482593444994
Found Property,0.2866876816413692,0.7133123183586307
GENERAL,0.30009675647466466,0.6999032435253354
General,0.2921091328079605,0.7078908671920394
General Construction/Plumbing,0.288064247231588,0.711935752768412
Graffiti,0.3079252586565375,0.6920747413434625
HEAT/HOT WATER,0.2930815287136864,0.7069184712863136
Harboring Bees/Wasps,0.29820227708472474,0.7017977229152752
Hazardous Materials,0.29033152123804334,0.7096684787619567
Highway Condition,0.2816894069814218,0.7183105930185782
Homeless Encampment,0.2991050613025751,0.7008949386974249
Homeless Person Assistance,0.296820504383233,0.703179495616767
Homeless Street Condition,0.2904935948460279,0.7095064051539721
Illegal Animal Kept as Pet,0.29094749410867665,0.7090525058913233
Illegal Animal Sold,0.28942610712247624,0.7105738928775238
Illegal Fireworks,0.2961369142753084,0.7038630857246916
Illegal Parking,0.3003471682007254,0.6996528317992746
Illegal Tree Damage,0.28535593264906123,0.7146440673509388
Indoor Air Quality,0.2883951359865839,0.711604864013416
Indoor Sewage,0.28815914094383016,0.7118408590561698
Industrial Waste,0.2938983641906518,0.7061016358093481
Investigations and Discipline (IAD),0.291602311892966,0.708397688107034
Lead,0.29125669004111837,0.7087433099588816
LinkNYC,0.28717293817203915,0.7128270618279609
Litter Basket / Request,0.29156142999084994,0.70843857000915
Lost Property,0.28980336645067234,0.7101966335493277
Maintenance or Facility,0.28664740908778685,0.7133525909122131
Miscellaneous Categories,0.3051359876725857,0.6948640123274143
Missed Collection,0.2888988951337427,0.7111011048662573
Missed Collection (All Materials),0.29338018934093674,0.7066198106590633
Mobile Food Vendor,0.2916468741237373,0.7083531258762628
Mold,0.28116600287284904,0.7188339971271509
Mosquitoes,0.29205557633685203,0.707944423663148
New Tree Request,0.2937613973795428,0.7062386026204572
Noise,0.2833390832376884,0.7166609167623116
Noise - Commercial,0.2868712324720827,0.7131287675279173
Noise - Helicopter,0.2948455110805766,0.7051544889194234
Noise - House of Worship,0.2920341967329999,0.7079658032670001
Noise - Park,0.29500435511393985,0.7049956448860601
Noise - Residential,0.28826989634797107,0.7117301036520289
Noise - Street/Sidewalk,0.29357376234801585,0.7064262376519841
Noise - Vehicle,0.2977779599676044,0.7022220400323955
Non-Emergency Police Matter,0.30229866335156474,0.6977013366484353
Non-Residential Heat,0.28598135372848055,0.7140186462715195
OUTSIDE BUILDING,0.29221515115657093,0.7077848488434291
