Complaint_type,Error,Accuracy
APPLIANCE,1.7228835063115067e-29,1.0
Abandoned Vehicle,5.901895216915616e-29,1.0
Adopt-A-Basket,6.208099312089823e-29,1.0
Air Quality,1.888370048380529e-29,1.0
Animal Abuse,1.8138340230492533e-29,1.0
Animal Facility - No Permit,8.86161658168214e-30,1.0
Animal in a Park,3.6620533992030404e-29,1.0
Animal-Abuse,3.0712850959181535e-29,1.0
Asbestos,7.827638603940781e-29,1.0
BEST/Site Safety,1.1010839199328767e-29,1.0
Beach/Pool/Sauna Complaint,1.674670795071021e-29,1.0
Bike Rack Condition,1.440969831575208e-29,1.0
Bike/Roller/Skate Chronic,5.893366880363787e-29,1.0
Blocked Driveway,5.347545160388145e-29,1.0
Boilers,1.8964811713456503e-29,1.0
Borough Office,1.9828586999467325e-29,1.0
Broken Muni Meter,5.8450191882570134e-30,1.0
Broken Parking Meter,5.702696180908858e-30,1.0
Building Marshals office,2.9360424485561934e-29,1.0
Building/Use,5.686846154943228e-29,1.0
Bus Stop Shelter Complaint,2.1301964509939484e-29,1.0
Bus Stop Shelter Placement,8.352996406521313e-29,1.0
City Vehicle Placard Complaint,2.123688737107157e-29,1.0
Collection Truck Noise,1.0461712493293713e-29,1.0
Construction,2.4089667076774507e-29,1.0
Construction Lead Dust,1.6608679789107581e-29,1.0
Construction Safety Enforcement,1.360556003066484e-29,1.0
Consumer Complaint,1.4601023467892038e-29,1.0
Cranes and Derricks,4.832335464754897e-30,1.0
Curb Condition,2.234508028329561e-29,1.0
DOF Property - Payment Issue,7.351094791005107e-29,1.0
DOOR/WINDOW,8.979949807794574e-30,1.0
DPR Internal,4.731780854864299e-29,1.0
DRIE,2.3720535310769787e-29,1.0
Damaged Tree,3.307794070465684e-29,1.0
Day Care,8.142823017052418e-30,1.0
Dead Tree,2.2534421625734067e-29,1.0
Dead/Dying Tree,6.689936011115696e-29,1.0
Derelict Bicycle,3.9711575378377975e-30,1.0
Derelict Vehicle,8.439146921847274e-30,1.0
Derelict Vehicles,1.5167411363494826e-29,1.0
Dirty Conditions,6.3001705790506875e-30,1.0
Disorderly Youth,2.1201383312908559e-29,1.0
Drinking,7.651169527751057e-29,1.0
Drinking Water,4.849835938585593e-29,1.0
Drug Activity,1.1109935606830528e-28,1.0
ELECTRIC,6.57536793310684e-30,1.0
ELEVATOR,1.1963742760382449e-29,1.0
Electrical,7.977825269332529e-29,1.0
Electronics Waste Appointment,1.0208157071465725e-28,1.0
Elevator,3.6377895659054617e-29,1.0
Emergency Response Team (ERT),9.440602691471803e-30,1.0
Executive Inspections,2.6774579668766616e-29,1.0
FLOORING/STAIRS,4.118556643824235e-29,1.0
Facades,1.9977393178726582e-29,1.0
Food Establishment,1.243155372030222e-29,1.0
Food Poisoning,1.3684421579211253e-29,1.0
For Hire Vehicle Complaint,1.463072334880467e-28,1.0
For Hire Vehicle Report,1.2136272849474133e-29,1.0
Found Property,1.564229859307151e-29,1.0
GENERAL,7.201237397120517e-29,1.0
General,1.5381090165157928e-29,1.0
General Construction/Plumbing,1.8750744330511665e-29,1.0
Graffiti,1.7201266243758074e-29,1.0
HEAT/HOT WATER,1.3817889023665062e-29,1.0
Harboring Bees/Wasps,1.0167167881736286e-29,1.0
Hazardous Materials,4.5393185911840945e-29,1.0
Highway Condition,5.838998223554714e-29,1.0
Homeless Encampment,4.030303699247607e-29,1.0
Homeless Person Assistance,1.7588334103661963e-29,1.0
Homeless Street Condition,1.7217230798943584e-28,1.0
Illegal Animal Kept as Pet,4.124125627140933e-29,1.0
Illegal Animal Sold,1.5708296056027753e-29,1.0
Illegal Fireworks,1.3936119991545458e-29,1.0
Illegal Parking,2.217132309541949e-29,1.0
Illegal Tree Damage,1.8508065094243062e-29,1.0
Indoor Air Quality,9.918803087766465e-30,1.0
Indoor Sewage,1.0036263028577307e-28,1.0
Industrial Waste,7.390114487185527e-29,1.0
Investigations and Discipline (IAD),5.102231752062288e-29,1.0
Lead,2.5532080794586065e-29,1.0
LinkNYC,3.464124410438174e-29,1.0
Litter Basket / Request,2.840756182780107e-29,1.0
Lost Property,2.0882358080601635e-30,1.0
Maintenance or Facility,1.6963883983908953e-29,1.0
Miscellaneous Categories,8.954315714187709e-29,1.0
Missed Collection,4.795064384342298e-29,1.0
Missed Collection (All Materials),1.554570546709e-29,1.0
Mobile Food Vendor,4.197048017570676e-29,1.0
Mold,2.77010392510157e-29,1.0
Mosquitoes,1.5322291681737043e-29,1.0
New Tree Request,1.1684432580233796e-28,1.0
Noise,1.6297323924203384e-29,1.0
Noise - Commercial,5.303786817735162e-30,1.0
Noise - Helicopter,2.9604453530493416e-29,1.0
Noise - House of Worship,1.1303297742952652e-29,1.0
Noise - Park,5.077591608470815e-30,1.0
Noise - Residential,9.37998401152067e-30,1.0
Noise - Street/Sidewalk,7.885195672424746e-29,1.0
Noise - Vehicle,1.961396742206949e-29,1.0
Non-Emergency Police Matter,1.97032388586372e-29,1.0
Non-Residential Heat,1.1968921117252768e-28,1.0
OUTSIDE BUILDING,3.164415758162914e-29,1.0
Other Enforcement,6.843188378303894e-29,1.0
Overflowing Litter Baskets,3.855069902500882e-29,1.0
Overgrown Tree/Branches,2.2563381157046755e-29,1.0
PAINT/PLASTER,9.716634472701372e-29,1.0
PLUMBING,4.9390317040615966e-30,1.0
Panhandling,3.71010863276619e-29,1.0
Pet Shop,1.412331391111115e-29,1.0
Plumbing,3.8388803792048914e-29,1.0
Poison Ivy,1.3381205469577146e-29,1.0
Posting Advertisement,2.624741803097296e-29,1.0
Public Payphone Complaint,2.3466219087695452e-29,1.0
Public Toilet,3.9535650315982687e-29,1.0
Quality of Life,4.383593619945259e-29,1.0
Recycling Enforcement,4.0796146639001627e-29,1.0
Request Large Bulky Item Collection,3.517028729364486e-29,1.0
Request Xmas Tree Collection,1.8654662495690334e-29,1.0
Rodent,1.8729311005076852e-29,1.0
Root/Sewer/Sidewalk Condition,3.688681442825299e-29,1.0
SAFETY,9.480790176662078e-30,1.0
Safety,2.171770557810636e-29,1.0
Sanitation Condition,3.254902022527216e-29,1.0
Scaffold Safety,1.3925096554131943e-29,1.0
School Maintenance,1.2421307445452181e-29,1.0
Senior Center Complaint,2.4141552903709737e-29,1.0
Sewer,2.774464216115599e-29,1.0
Sidewalk Condition,2.719647668250208e-29,1.0
Smoking,1.8487715706067834e-29,1.0
Snow,1.4921418960508249e-29,1.0
Special Natural Area District (SNAD),1.29537251563725e-29,1.0
Special Projects Inspection Team (SPIT),9.167477089196706e-29,1.0
Standing Water,1.852379241033025e-29,1.0
Street Condition,4.142734580206903e-29,1.0
Street Light Condition,4.2993594238876585e-29,1.0
Street Sign - Damaged,3.099778329692754e-29,1.0
Street Sign - Dangling,3.327673070773545e-29,1.0
Street Sign - Missing,1.1659463165135166e-29,1.0
Sustainability Enforcement,2.0113826111909445e-29,1.0
Sweeping/Inadequate,2.3860813153477217e-29,1.0
Sweeping/Missed,3.7981836480190755e-29,1.0
Tattooing,1.8769641651791976e-29,1.0
Taxi Complaint,1.367262097923426e-29,1.0
Taxi Report,1.0505376758373222e-29,1.0
Traffic,1.0253412474635722e-29,1.0
Traffic Signal Condition,8.940784904924661e-30,1.0
