Complaint_type,Error,Accuracy
APPLIANCE,0.3531464014738259,0.6468535985261741
Abandoned Vehicle,0.3816460830499503,0.6183539169500497
Adopt-A-Basket,0.3981760227004203,0.6018239772995797
Air Quality,0.3815436506129033,0.6184563493870967
Animal Abuse,0.3675872814476372,0.6324127185523628
Animal Facility - No Permit,0.3968008690771684,0.6031991309228316
Animal in a Park,0.38525873801004656,0.6147412619899535
Animal-Abuse,0.3806378753631574,0.6193621246368426
Asbestos,0.3901928446657605,0.6098071553342395
BEST/Site Safety,0.39070081434398946,0.6092991856560106
Beach/Pool/Sauna Complaint,0.38617325007117176,0.6138267499288282
Bike Rack Condition,0.38914111066011925,0.6108588893398808
Bike/Roller/Skate Chronic,0.37710585048476153,0.6228941495152385
Blocked Driveway,0.3730298877175093,0.6269701122824907
Boilers,0.3748184775470291,0.6251815224529709
Borough Office,0.38792948365128116,0.6120705163487188
Broken Muni Meter,0.38431033545846865,0.6156896645415313
Broken Parking Meter,0.381176236346863,0.6188237636531371
Building Marshals office,0.38112094969461463,0.6188790503053854
Building/Use,0.3686297922062217,0.6313702077937783
Bus Stop Shelter Complaint,0.3868607640298012,0.6131392359701988
Bus Stop Shelter Placement,0.3852532796961598,0.6147467203038401
City Vehicle Placard Complaint,0.38275561466192054,0.6172443853380795
Collection Truck Noise,0.3942429249704331,0.6057570750295669
Construction,0.3875713133142483,0.6124286866857517
Construction Lead Dust,0.3800174257069306,0.6199825742930694
Construction Safety Enforcement,0.39326444058122556,0.6067355594187744
Consumer Complaint,0.3879398396007131,0.6120601603992869
Cranes and Derricks,0.3918833771703018,0.6081166228296981
Curb Condition,0.38528876661351874,0.6147112333864813
DOF Property - Payment Issue,0.3994147426469044,0.6005852573530956
DOOR/WINDOW,0.36471587006397976,0.6352841299360202
DPR Internal,0.37728468123900505,0.622715318760995
DRIE,0.36263349723678784,0.6373665027632122
Damaged Tree,0.3847505878225486,0.6152494121774514
Day Care,0.3918239500729885,0.6081760499270115
Dead Tree,0.3802955485928077,0.6197044514071923
Dead/Dying Tree,0.3818998069769537,0.6181001930230463
Derelict Bicycle,0.3779035131833764,0.6220964868166237
Derelict Vehicle,0.38410796240301814,0.6158920375969819
Derelict Vehicles,0.3725238884082087,0.6274761115917913
Dirty Conditions,0.3883258177523394,0.6116741822476606
Disorderly Youth,0.38640610447564844,0.6135938955243516
Drinking,0.3841254579435531,0.6158745420564469
Drinking Water,0.38656269803106263,0.6134373019689374
Drug Activity,0.3770604687079732,0.6229395312920267
ELECTRIC,0.35798336450307955,0.6420166354969205
ELEVATOR,0.3735641604744237,0.6264358395255762
Electrical,0.38277110884580356,0.6172288911541964
Electronics Waste Appointment,0.37662119399631594,0.623378806003684
Elevator,0.3892373858973396,0.6107626141026604
Emergency Response Team (ERT),0.3934250703626084,0.6065749296373917
Executive Inspections,0.38043667081992794,0.6195633291800721
FLOORING/STAIRS,0.3505192420481695,0.6494807579518305
Facades,0.38347592021402105,0.616524079785979
Food Establishment,0.391592392408039,0.608407607591961
Food Poisoning,0.3890489254798856,0.6109510745201143
For Hire Vehicle Complaint,0.3729718632782972,0.6270281367217028
For Hire Vehicle Report,0.39415603424096307,0.6058439657590369
Found Property,0.3738992161607059,0.626100783839294
GENERAL,0.3620459981198213,0.6379540018801787
General,0.3747465432412964,0.6252534567587036
General Construction/Plumbing,0.39350006805309534,0.6064999319469047
Graffiti,0.382438742476964,0.617561257523036
HEAT/HOT WATER,0.36965268114147176,0.6303473188585282
Harboring Bees/Wasps,0.3797759005357521,0.6202240994642478
Hazardous Materials,0.38806013422681473,0.6119398657731853
Highway Condition,0.3890592848186411,0.6109407151813588
Homeless Encampment,0.38431661186768723,0.6156833881323127
Homeless Person Assistance,0.38147383668212825,0.6185261633178718
