Complaint_type,Error,Accuracy
APPLIANCE,0.2847116852420727,0.7152883147579273
Abandoned Vehicle,0.28878433609675924,0.7112156639032408
Adopt-A-Basket,0.2947270813907588,0.7052729186092412
Air Quality,0.29731892435603435,0.7026810756439656
Animal Abuse,0.2937063538436456,0.7062936461563545
Animal Facility - No Permit,0.28823406801273893,0.7117659319872611
Animal in a Park,0.2928367717822258,0.7071632282177742
Animal-Abuse,0.29404206484229967,0.7059579351577003
Asbestos,0.2994577135274739,0.7005422864725261
BEST/Site Safety,0.28572363153289876,0.7142763684671012
Beach/Pool/Sauna Complaint,0.279482940171796,0.720517059828204
Bike Rack Condition,0.2945521683744281,0.7054478316255719
Bike/Roller/Skate Chronic,0.2888360317526179,0.711163968247382
Blocked Driveway,0.2943721754208338,0.7056278245791662
Boilers,0.29114271717272366,0.7088572828272763
Borough Office,0.2994135946315285,0.7005864053684715
Broken Muni Meter,0.3012679317446441,0.6987320682553559
Broken Parking Meter,0.28584472085413876,0.7141552791458612
Building Marshals office,0.292649403122902,0.707350596877098
Building/Use,0.2897965322074994,0.7102034677925007
Bus Stop Shelter Complaint,0.2910877453664443,0.7089122546335558
Bus Stop Shelter Placement,0.29744513241772036,0.7025548675822797
City Vehicle Placard Complaint,0.28672022498924987,0.7132797750107501
Collection Truck Noise,0.287299656829362,0.712700343170638
Construction,0.29395074866810295,0.706049251331897
Construction Lead Dust,0.2883669696995279,0.7116330303004721
Construction Safety Enforcement,0.2915401399181728,0.7084598600818273
Consumer Complaint,0.2944052535854839,0.705594746414516
Cranes and Derricks,0.2952734355912407,0.7047265644087592
Curb Condition,0.3014099079128904,0.6985900920871095
DOF Property - Payment Issue,0.28994416119957384,0.7100558388004261
DOOR/WINDOW,0.2998331529730618,0.7001668470269382
DPR Internal,0.2961344154232944,0.7038655845767057
DRIE,0.283851152809726,0.7161488471902739
Damaged Tree,0.28975135079407316,0.7102486492059268
Day Care,0.2818008293031057,0.7181991706968943
Dead Tree,0.28892981768900294,0.7110701823109971
Dead/Dying Tree,0.29608108627928514,0.7039189137207149
Derelict Bicycle,0.28959678657853066,0.7104032134214693
Derelict Vehicle,0.29043334974695073,0.7095666502530493
Derelict Vehicles,0.2940040069898246,0.7059959930101753
Dirty Conditions,0.2957726055933536,0.7042273944066464
Disorderly Youth,0.293405591530263,0.706594408469737
Drinking,0.28685783760576117,0.7131421623942389
Drinking Water,0.29270206254246894,0.707297937457531
Drug Activity,0.28362699987690004,0.7163730001230999
ELECTRIC,0.29991630803796254,0.7000836919620375
ELEVATOR,0.2942841896985608,0.7057158103014392
Electrical,0.28651387972373504,0.713486120276265
Electronics Waste Appointment,0.285802835345914,0.714197164654086
Elevator,0.28614247001769766,0.7138575299823023
Emergency Response Team (ERT),0.2950011553238876,0.7049988446761124
Executive Inspections,0.2954742650116556,0.7045257349883445
FLOORING/STAIRS,0.2932090461999399,0.7067909538000601
Facades,0.29269981032393333,0.7073001896760667
Food Establishment,0.2924650702740452,0.7075349297259548
Food Poisoning,0.29062421459578497,0.7093757854042151
For Hire Vehicle Complaint,0.2896064969313176,0.7103935030686823
For Hire Vehicle Report,0.2919554788939896,0.7080445211060105
Found Property,0.29028030508314734,0.7097196949168527
GENERAL,0.2878275403103647,0.7121724596896353
General,0.2916126726628215,0.7083873273371786
General Construction/Plumbing,0.28270049924517826,0.7172995007548217
Graffiti,0.30227028890659613,0.6977297110934039
HEAT/HOT WATER,0.2858812355176055,0.7141187644823945
Harboring Bees/Wasps,0.2913519799892737,0.7086480200107264
