,Incident_Zip,APPLIANCE,Abandoned Vehicle,Adopt-A-Basket,Air Quality,Animal Abuse,Animal Facility - No Permit,Animal in a Park,Animal-Abuse,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bike Rack Condition,Bike/Roller/Skate Chronic,Blocked Driveway,Boilers,Borough Office,Broken Muni Meter,Broken Parking Meter,Building Marshals office,Building/Use,Bus Stop Shelter Complaint,Bus Stop Shelter Placement,City Vehicle Placard Complaint,Collection Truck Noise,Construction,Construction Lead Dust,Construction Safety Enforcement,Consumer Complaint,Cranes and Derricks,Curb Condition,DOF Property - Payment Issue,DOOR/WINDOW,DPR Internal,DRIE,Damaged Tree,Day Care,Dead Tree,Dead/Dying Tree,Derelict Bicycle,Derelict Vehicle,Derelict Vehicles,Dirty Conditions,Disorderly Youth,Drinking,Drinking Water,Drug Activity,ELECTRIC,ELEVATOR,Electrical,Electronics Waste Appointment,Elevator,Emergency Response Team (ERT),Executive Inspections,FLOORING/STAIRS,Facades,Food Establishment,Food Poisoning,For Hire Vehicle Complaint,For Hire Vehicle Report,Found Property,GENERAL,General,General Construction/Plumbing,Graffiti,HEAT/HOT WATER,Harboring Bees/Wasps,Hazardous Materials,Highway Condition,Homeless Encampment,Homeless Person Assistance,Homeless Street Condition,Illegal Animal Kept as Pet,Illegal Animal Sold,Illegal Fireworks,Illegal Parking,Illegal Tree Damage,Indoor Air Quality,Indoor Sewage,Industrial Waste,Investigations and Discipline (IAD),Lead,LinkNYC,Litter Basket / Request,Lost Property,Maintenance or Facility,Miscellaneous Categories,Missed Collection,Missed Collection (All Materials),Mobile Food Vendor,Mold,Mosquitoes,New Tree Request,Noise,Noise - Commercial,Noise - Helicopter,Noise - House of Worship,Noise - Park,Noise - Residential,Noise - Street/Sidewalk,Noise - Vehicle,Non-Emergency Police Matter,Non-Residential Heat,OUTSIDE BUILDING,Other Enforcement,Overflowing Litter Baskets,Overgrown Tree/Branches,PAINT/PLASTER,PLUMBING,Panhandling,Pet Shop,Plumbing,Poison Ivy,Posting Advertisement,Public Payphone Complaint,Public Toilet,Quality of Life,Recycling Enforcement,Request Large Bulky Item Collection,Request Xmas Tree Collection,Rodent,Root/Sewer/Sidewalk Condition,SAFETY,Safety,Sanitation Condition,Scaffold Safety,School Maintenance,Senior Center Complaint,Sewer,Sidewalk Condition,Smoking,Snow,Special Natural Area District (SNAD),Special Projects Inspection Team (SPIT),Standing Water,Street Condition,Street Light Condition,Street Sign - Damaged,Street Sign - Dangling,Street Sign - Missing,Sustainability Enforcement,Sweeping/Inadequate,Sweeping/Missed,Tattooing,Taxi Complaint,Taxi Report,Traffic,Traffic Signal Condition,UNSANITARY CONDITION,Unleashed Dog,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Unsanitary Condition,Unsanitary Pigeon Condition,Urinating in Public,Vacant Lot,Vending,Violation of Park Rules,WATER LEAK,Water Conservation,Water Quality,Water System,Window Guard,total_count
0,00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,00083,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,3,155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
2,00765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,07114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,10000,0,1,0,0,14,0,45,7,0,0,2,0,38,0,0,0,0,1,0,0,1,0,0,0,0,0,0,33,0,2,0,0,26,0,4,0,0,0,0,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,5,8,8,1,1,0,0,0,0,0,0,2,1,20,1,2,0,0,1,30,0,2,0,0,0,0,0,0,17,33,0,0,0,5,0,3,1,0,3,22,0,208,4,168,6,4,1,0,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,0,0,0,1,5,1,0,0,0,2,147,2,2,0,0,0,0,0,0,21,4,9,0,0,0,0,0,0,0,1,0,36,61,0,1,0,3,0,1050
5,10001,86,14,3,516,171,0,13,22,97,108,11,7,31,669,32,39,1056,393,115,285,26,2,12,3,2,1,549,1392,56,85,53,205,108,22,80,19,19,30,190,59,47,821,0,38,4,61,168,11,125,0,510,312,4,105,44,727,310,1282,41,46,296,0,1859,562,1990,3,142,2,1297,5866,44,1,0,1,2972,32,192,26,53,35,165,15,53,423,118,108,1,501,59,74,7,366,6752,1770,118,5,30,4219,2701,536,239,164,6,248,21,15,309,405,35,0,192,0,2,28,6,30,41,635,4,648,2,69,4,756,24,10,13,506,716,145,140,0,381,55,2714,45,119,72,159,98,0,8,0,2778,487,241,4,700,6,1,10,10,11,54,7,579,65,192,75,35,2168,0,61118
6,10002,372,52,4,558,269,1,37,47,114,56,10,12,58,678,88,48,774,583,107,630,34,10,11,6,3,4,351,855,39,114,31,933,64,24,279,15,27,133,321,181,163,1052,12,101,13,101,678,30,124,0,398,343,3,713,17,805,243,2223,20,31,1336,7,1611,3514,8556,3,100,147,367,1495,25,9,5,19,6807,107,360,63,39,26,431,3,133,295,480,189,0,366,27,23,55,599,4914,7717,165,7,526,12948,4803,1876,312,43,65,314,24,66,1384,1334,14,0,376,0,7,52,4,51,46,1286,3,1597,7,288,2,898,21,110,13,534,1126,230,133,0,587,83,2884,1699,246,94,246,51,2,32,4,1433,181,252,1348,2348,14,0,41,10,38,65,8,120,62,964,56,49,2182,0,100595
7,10003,234,23,3,1113,489,1,16,83,177,48,16,28,65,387,116,37,1859,862,108,339,33,5,1,11,4,3,217,863,14,126,46,654,9,34,410,0,74,220,563,128,54,1048,8,88,5,58,400,22,168,0,358,346,8,336,48,1111,458,3091,18,46,1368,4,1906,1071,6040,2,185,1,1779,6788,92,8,1,3,3793,204,354,48,49,29,453,26,43,351,143,122,0,761,42,24,5,1143,6812,5009,179,21,638,7163,3615,1264,258,101,43,350,42,111,1042,962,67,3,417,1,5,54,4,20,45,2070,3,1048,30,199,1,692,24,53,15,665,968,67,140,0,441,68,3897,210,154,115,109,35,6,15,18,2908,341,128,60,1736,15,1,27,29,62,65,12,270,80,601,81,91,2275,2,91981
8,10004,2,3,0,152,12,0,6,2,20,6,2,3,11,43,1,1,93,37,7,22,5,1,5,0,3,0,34,281,1,92,11,13,18,1,9,0,1,2,17,13,5,75,0,4,2,1,8,3,17,0,81,24,1,7,8,169,82,123,11,10,10,0,145,12,47,1,18,49,182,592,69,1,1,1,1106,2,24,2,6,5,23,0,3,71,37,4,0,41,21,4,2,10,1284,185,28,0,66,139,286,175,58,22,0,26,3,0,11,10,519,0,29,0,1,16,1,4,26,60,0,82,0,1,0,61,2,7,0,150,335,23,21,0,48,4,712,311,140,73,66,12,0,0,0,375,80,160,358,22,16,0,0,0,0,2,0,1114,42,4,3,2,236,0,11461
9,10005,4,4,0,96,33,0,9,5,17,6,1,4,24,49,1,6,189,104,9,24,3,0,2,2,0,0,46,242,1,155,39,5,10,0,10,0,2,5,10,15,9,70,0,3,0,3,7,11,5,0,66,33,0,4,8,111,39,152,8,10,20,1,168,14,63,0,23,0,167,568,61,0,0,1,884,3,39,2,7,0,44,1,4,29,41,2,0,31,30,0,1,15,1757,262,5,3,7,412,982,285,69,29,0,30,1,0,7,19,463,0,13,0,2,5,1,0,15,107,0,65,1,16,0,62,3,0,0,58,273,17,11,0,86,10,516,336,130,38,26,10,0,0,0,350,62,26,260,38,6,0,2,0,1,4,0,953,9,14,7,6,108,1,11869
