Incident_Zip,Complaint_Type,count
83.0,Blocked Driveway,2
83.0,Broken Muni Meter,2
83.0,Broken Parking Meter,2
83.0,Damaged Tree,3
83.0,Food Establishment,1
83.0,For Hire Vehicle Complaint,3
83.0,Homeless Person Assistance,16
83.0,Illegal Parking,16
83.0,Mobile Food Vendor,2
83.0,New Tree Request,1
83.0,Noise - Helicopter,1
83.0,Noise - Residential,1
83.0,Noise - Street/Sidewalk,88
83.0,Panhandling,1
83.0,Rodent,22
83.0,Street Sign - Damaged,11
83.0,Street Sign - Missing,4
83.0,Taxi Complaint,10
7114.0,Taxi Complaint,1
10000.0,Abandoned Vehicle,1
10000.0,Animal Abuse,10
10000.0,Animal in a Park,30
10000.0,Animal-Abuse,7
10000.0,Beach/Pool/Sauna Complaint,1
10000.0,Bike/Roller/Skate Chronic,26
10000.0,Broken Parking Meter,1
10000.0,Bus Stop Shelter Complaint,1
10000.0,Consumer Complaint,31
10000.0,Curb Condition,2
10000.0,DPR Internal,17
10000.0,Damaged Tree,4
10000.0,Derelict Vehicle,1
10000.0,Disorderly Youth,1
10000.0,Drinking,3
10000.0,Food Establishment,3
10000.0,Food Poisoning,4
10000.0,For Hire Vehicle Complaint,5
10000.0,For Hire Vehicle Report,1
10000.0,Found Property,1
10000.0,Hazardous Materials,2
10000.0,Highway Condition,1
10000.0,Homeless Encampment,17
10000.0,Homeless Person Assistance,1
10000.0,Homeless Street Condition,2
10000.0,Illegal Fireworks,1
10000.0,Illegal Parking,20
10000.0,Indoor Air Quality,2
10000.0,Lost Property,16
10000.0,Maintenance or Facility,23
10000.0,Mobile Food Vendor,4
10000.0,Mosquitoes,3
10000.0,New Tree Request,1
10000.0,Noise - Commercial,2
10000.0,Noise - Helicopter,19
10000.0,Noise - Park,161
10000.0,Noise - Residential,3
10000.0,Noise - Street/Sidewalk,147
10000.0,Noise - Vehicle,6
10000.0,Non-Emergency Police Matter,3
10000.0,Non-Residential Heat,1
10000.0,Overgrown Tree/Branches,3
10000.0,Panhandling,3
10000.0,Public Payphone Complaint,1
10000.0,Rodent,3
10000.0,Sanitation Condition,3
10000.0,Sidewalk Condition,3
10000.0,Smoking,1
10000.0,Street Condition,104
10000.0,Street Light Condition,1
10000.0,Street Sign - Damaged,2
10000.0,Taxi Complaint,13
10000.0,Taxi Report,2
10000.0,Traffic,6
10000.0,Urinating in Public,1
10000.0,Vending,26
10000.0,Violation of Park Rules,54
10000.0,Water System,3
10001.0,APPLIANCE,62
10001.0,Abandoned Vehicle,14
10001.0,Adopt-A-Basket,2
10001.0,Air Quality,347
10001.0,Animal Abuse,103
10001.0,Animal in a Park,12
10001.0,Animal-Abuse,22
10001.0,Asbestos,61
10001.0,BEST/Site Safety,69
10001.0,Beach/Pool/Sauna Complaint,5
10001.0,Bike Rack Condition,6
10001.0,Bike/Roller/Skate Chronic,24
10001.0,Blocked Driveway,514
10001.0,Boilers,26
10001.0,Borough Office,29
10001.0,Bottled Water,2
10001.0,Broken Muni Meter,565
10001.0,Broken Parking Meter,313
10001.0,Building Marshals office,106
10001.0,Building/Use,188
10001.0,Bus Stop Shelter Complaint,16
10001.0,Bus Stop Shelter Placement,1
10001.0,City Vehicle Placard Complaint,8
10001.0,Collection Truck Noise,1
10001.0,Construction,2
10001.0,Construction Lead Dust,1
10001.0,Construction Safety Enforcement,353
10001.0,Consumer Complaint,941
10001.0,Cooling Tower,3
10001.0,Cranes and Derricks,35
10001.0,Curb Condition,61
10001.0,DOF Property - Payment Issue,39
10001.0,DOOR/WINDOW,133
10001.0,DPR Internal,70
10001.0,DRIE,13
10001.0,Damaged Tree,57
10001.0,Day Care,14
10001.0,Dead Tree,14
10001.0,Dead/Dying Tree,21
10001.0,Derelict Bicycle,119
10001.0,Derelict Vehicle,27
10001.0,Derelict Vehicles,34
